pair_id,detected_left,detected_right,common_count,common_ids,mean_abs_vertical_error_px,median_abs_vertical_error_px,p95_abs_vertical_error_px,max_abs_vertical_error_px,status
000074,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.222084,0.186707,0.582086,0.651794,PASS
000075,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.314279,0.287079,0.782428,0.880920,PASS
000076,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.227542,0.258087,0.535492,0.642303,PASS
000077,True,True,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,0.211853,0.141754,0.547995,0.566101,PASS
000078,True,True,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,0.263065,0.255569,0.472734,0.710266,PASS
000079,True,True,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,0.248003,0.238190,0.404617,0.415771,PASS
000080,True,True,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,0.252942,0.215149,0.518753,0.759216,PASS
000081,True,True,20,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 22 23,0.209946,0.123978,0.529877,0.769348,PASS
000083,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.218795,0.147827,0.475168,0.683533,PASS
000084,True,True,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.212962,0.158081,0.521892,0.611145,PASS
